KO,Label,Entrez_hsa,Name,EC
K15142,MED29,55588,mediator of RNA polymerase II transcription subunit 29,"NA"
K15143,MED30,90390,mediator of RNA polymerase II transcription subunit 30,"NA"
K15144,MED1,5469,mediator of RNA polymerase II transcription subunit 1,"NA"
K15145,MED1,-1,"mediator of RNA polymerase II transcription subunit 1, fungi type","NA"
K15146,MED4,29079,mediator of RNA polymerase II transcription subunit 4,"NA"
K15147,"MED5, NUT1",-1,mediator of RNA polymerase II transcription subunit 5,"NA"
K15148,MED7,9443,mediator of RNA polymerase II transcription subunit 7,"NA"
K15149,MED9,55090,mediator of RNA polymerase II transcription subunit 9,"NA"
K15150,"CSE2, MED9",-1,"mediator of RNA polymerase II transcription subunit 9, fungi type","NA"
K15151,"MED10, NUT2",84246,mediator of RNA polymerase II transcription subunit 10,"NA"
K15152,"MED21, SRB7",9412,mediator of RNA polymerase II transcription subunit 21,"NA"
K15153,"MED31, SOH1",51003,mediator of RNA polymerase II transcription subunit 31,"NA"
K15154,MED2,-1,mediator of RNA polymerase II transcription subunit 2,"NA"
K15155,"MED3, HRS1, PGD1",-1,mediator of RNA polymerase II transcription subunit 3,"NA"
K15156,"MED14, RGR1",9282,mediator of RNA polymerase II transcription subunit 14,"NA"
K15157,MED15,51586,mediator of RNA polymerase II transcription subunit 15,"NA"
K15158,"GAL11, MED15",-1,"mediator of RNA polymerase II transcription subunit 15, fungi type","NA"
K15159,MED16,10025,mediator of RNA polymerase II transcription subunit 16,"NA"
K15160,"SIN4, MED16",-1,"mediator of RNA polymerase II transcription subunit 16, fungi type","NA"
K15161,"CCNC, SSN8",892,cyclin-C,"NA"
K15162,MED12,116931,mediator of RNA polymerase II transcription subunit 12,"NA"
K15162,MED12,9968,mediator of RNA polymerase II transcription subunit 12,"NA"
K15163,"SRB8, MED12",-1,"mediator of RNA polymerase II transcription subunit 12, fungi type","NA"
K15164,MED13,23389,mediator of RNA polymerase II transcription subunit 13,"NA"
K15164,MED13,9969,mediator of RNA polymerase II transcription subunit 13,"NA"
K15165,"SSN2, MED13",-1,"mediator of RNA polymerase II transcription subunit 13, fungi type","NA"
K15166,MED23,9439,mediator of RNA polymerase II transcription subunit 23,"NA"
K15167,MED24,9862,mediator of RNA polymerase II transcription subunit 24,"NA"
K15168,MED25,81857,mediator of RNA polymerase II transcription subunit 25,"NA"
K15169,MED26,9441,mediator of RNA polymerase II transcription subunit 26,"NA"
K15170,MED27,9442,mediator of RNA polymerase II transcription subunit 27,"NA"
K15171,"SUPT4H1, SPT4",6827,transcription elongation factor SPT4,"NA"
K15172,"SUPT5H, SPT5",6829,transcription elongation factor SPT5,"NA"
K15173,TTF2,8458,transcription termination factor 2 ,3.6.4.-
K15174,PAF1,54623,RNA polymerase II-associated factor 1,"NA"
K15175,CDC73,79577,parafibromin,"NA"
K15176,CTR9,9646,RNA polymerase-associated protein CTR9,"NA"
K15177,LEO1,123169,RNA polymerase-associated protein LEO1,"NA"
K15178,RTF1,23168,RNA polymerase-associated protein RTF1,"NA"
K15179,"WHSC2, NELFA",7469,negative elongation factor A,"NA"
K15180,"COBRA1, NELFB",25920,negative elongation factor B,"NA"
K15181,"TH1L, NELFD",51497,negative elongation factor C/D,"NA"
K15182,"RDBP, NELFE",7936,negative elongation factor E,"NA"
K15183,ELL,22936,RNA polymerase II elongation factor ELL,"NA"
K15183,ELL,80237,RNA polymerase II elongation factor ELL,"NA"
K15183,ELL,8178,RNA polymerase II elongation factor ELL,"NA"
K15184,AFF1,4299,AF4/FMR2 family member 1,"NA"
K15185,AFF4,27125,AF4/FMR2 family member 4,"NA"
K15186,EAF,55840,ELL-associated factor,"NA"
K15186,EAF,85403,ELL-associated factor,"NA"
K15187,"MLLT1_3, ENL, AF9",4298,YEATS domain-containing protein 1/3,"NA"
K15187,"MLLT1_3, ENL, AF9",4300,YEATS domain-containing protein 1/3,"NA"
K15188,CCNT,904,cyclin T,"NA"
K15188,CCNT,905,cyclin T,"NA"
K15189,HEXIM1_2,10614,protein HEXIM1/2,"NA"
K15189,HEXIM1_2,124790,protein HEXIM1/2,"NA"
K15190,"MEPCE, BCDIN3",56257,7SK snRNA methylphosphate capping enzyme ,2.1.1.-
K15191,LARP7,51574,La-related protein 7,"NA"
K15192,"BTAF1, MOT1",9044,TATA-binding protein-associated factor ,3.6.4.-
K15193,"SPTY2D1, SPT2",144108,protein SPT2,"NA"
K15194,AFF2,2334,AF4/FMR2 family member 2,"NA"
K15195,AFF3,3899,AF4/FMR2 family member 3,"NA"
K15196,"BRF1, GTF3B",2972,transcription factor IIIB 90 kDa subunit,"NA"
K15197,BRF2,55290,transcription factor IIIB 50 kDa subunit,"NA"
K15198,"BDP1, TFC5",55814,transcription factor TFIIIB component B'',"NA"
K15199,GTF3C1,2975,general transcription factor 3C polypeptide 1,"NA"
K15200,GTF3C2,2976,general transcription factor 3C polypeptide 2,"NA"
K15201,"GTP3C3, TFC4",9330,general transcription factor 3C polypeptide 3 (transcription factor C subunit 4),"NA"
K15202,"GTF3C5, TFC1",9328,general transcription factor 3C polypeptide 5 (transcription factor C subunit 1),"NA"
K15203,GTF3C6,112495,general transcription factor 3C polypeptide 6,"NA"
K15204,TFC3,-1,transcription factor C subunit 3,"NA"
K15205,TFC6,-1,transcription factor C subunit 6,"NA"
K15206,TFC7,-1,transcription factor C subunit 7,"NA"
K15207,TFC8,-1,transcription factor C subunit 8,"NA"
K15208,SNAPC1,6617,snRNA-activating protein complex subunit 1,"NA"
K15209,SNAPC2,6618,snRNA-activating protein complex subunit 2,"NA"
K15210,SNAPC3,6619,snRNA-activating protein complex subunit 3,"NA"
K15211,SNAPC5,10302,snRNA-activating protein complex subunit 5,"NA"
K15212,"TAF1A, SL1",9015,TATA box-binding protein-associated factor RNA polymerase I subunit A,"NA"
K15213,TAF1B,9014,TATA box-binding protein-associated factor RNA polymerase I subunit B,"NA"
K15214,TAF1C,9013,TATA box-binding protein-associated factor RNA polymerase I subunit C,"NA"
K15215,TAF1D,79101,TATA box-binding protein-associated factor RNA polymerase I subunit D,"NA"
K15216,"RRN3, TIFIA",54700,RNA polymerase I-specific transcription initiation factor RRN3,"NA"
K15217,RRN5,-1,RNA polymerase I-specific transcription initiation factor RRN5,"NA"
K15218,RRN6,-1,RNA polymerase I-specific transcription initiation factor RRN6,"NA"
K15219,RRN7,-1,RNA polymerase I-specific transcription initiation factor RRN7,"NA"
K15220,RRN9,-1,RNA polymerase I-specific transcription initiation factor RRN9,"NA"
K15221,RRN10,-1,RNA polymerase I-specific transcription initiation factor RRN10,"NA"
K15222,RRN11,-1,RNA polymerase I-specific transcription initiation factor RRN11,"NA"
K15223,"UAF30, SPP27",-1,upstream activation factor subunit UAF30,"NA"
K15224,"BAZ2A, TIP5",11176,bromodomain adjacent to zinc finger domain protein 2A,"NA"
K15225,TTF1,7270,transcription termination factor 1,"NA"
K15226,tyrAa,-1,arogenate dehydrogenase (NADP+) ,1.3.1.78
K15227,TYRAAT,-1,"arogenate dehydrogenase (NADP+), plant ",1.3.1.78
K15228,mauA,-1,methylamine dehydrogenase light chain ,1.4.9.1
K15229,mauB,-1,methylamine dehydrogenase heavy chain ,1.4.9.1
K15230,aclA,-1,ATP-citrate lyase alpha-subunit ,2.3.3.8
K15231,aclB,-1,ATP-citrate lyase beta-subunit ,2.3.3.8
K15232,ccsA,-1,citryl-CoA synthetase large subunit ,6.2.1.18
K15233,ccsB,-1,citryl-CoA synthetase small subunit,"NA"
K15234,ccl,-1,citryl-CoA lyase ,4.1.3.34
K15235,JOSD,126119,josephin ,3.4.19.12
K15235,JOSD,9929,josephin ,3.4.19.12
K15236,linA,-1,gamma-hexachlorocyclohexane dehydrochlorinase ,4.5.1.-
K15237,linC,-1,"2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase 1 ",1.3.1.-
K15238,linX,-1,"2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase 2 ",1.3.1.-
K15239,linD,-1,"2,5-dichlorohydroquinone reductive dechlorinase ",2.5.1.-
K15240,linE,-1,"hydroquinone 1,2-dioxygenase ",1.13.11.66
K15241,pcpC,-1,tetrachlorohydroquinone reductive dehalogenase ,1.21.4.5
K15242,pcpA,-1,"2,6-dichloro-p-hydroquinone 1,2-dioxygenase ",1.13.11.-
K15243,tftA,-1,"2,4,5-trichlorophenoxyacetic acid oxygenase 1 ",1.14.13.-
K15244,tftB,-1,"2,4,5-trichlorophenoxyacetic acid oxygenase 2 ",1.14.13.-
K15245,"tftC, tcpX",-1,flavin reductase ,1.5.1.37
K15246,tftD,-1,chlorophenol-4-monooxygenase ,1.14.14.173 1.14.14.-
K15253,"tcbC, tfdC",-1,"chlorocatechol 1,2-dioxygenase ",1.13.11.-
K15254,HELB,92797,DNA helicase B ,3.6.4.12
K15255,PIF1,80119,ATP-dependent DNA helicase PIF1 ,3.6.4.12
K15256,cmoA,-1,tRNA (cmo5U34)-methyltransferase ,2.1.1.-
K15257,cmoB,-1,tRNA (mo5U34)-methyltransferase ,2.1.1.-
K15258,PARP6_8,56965,poly [ADP-ribose] polymerase 6/8 ,2.4.2.30
K15258,PARP6_8,79668,poly [ADP-ribose] polymerase 6/8 ,2.4.2.30
K15259,PARP7S,25976,poly [ADP-ribose] polymerase 7/11/12/13 ,2.4.2.30
K15259,PARP7S,56829,poly [ADP-ribose] polymerase 7/11/12/13 ,2.4.2.30
K15259,PARP7S,57097,poly [ADP-ribose] polymerase 7/11/12/13 ,2.4.2.30
K15259,PARP7S,64761,poly [ADP-ribose] polymerase 7/11/12/13 ,2.4.2.30
K15260,PARP9,83666,poly [ADP-ribose] polymerase 9 ,2.4.2.30
K15261,PARP10_14_15,165631,poly [ADP-ribose] polymerase 10/14/15 ,2.4.2.30
K15261,PARP10_14_15,54625,poly [ADP-ribose] polymerase 10/14/15 ,2.4.2.30
K15261,PARP10_14_15,84875,poly [ADP-ribose] polymerase 10/14/15 ,2.4.2.30
K15262,"BCP1, BCCIP",56647,protein BCP1,"NA"
K15263,LYER,55646,cell growth-regulating nucleolar protein,"NA"
K15264,"NSUN5, WBSCR20, RCM1",55695,25S rRNA (cytosine2278-C5)-methyltransferase ,2.1.1.311
K15265,PUS5,-1,21S rRNA pseudouridine2819 synthase ,5.4.99.43
K15266,TFB1M,51106,"dimethyladenosine transferase 1, mitochondrial ",2.1.1.-
K15267,MTEF1,-1,mitochondrial transcription factor 1,"NA"
K15268,eamA,-1,O-acetylserine/cysteine efflux transporter,"NA"
K15269,pecM,-1,probable blue pigment (indigoidine) exporter,"NA"
K15270,sam,-1,S-adenosylmethionine uptake transporter,"NA"
K15271,"HFM1, MER3",164045,ATP-dependent DNA helicase HFM1/MER3 ,3.6.4.12
K15272,SLC35A1_2_3,23443,"solute carrier family 35 (UDP-sugar transporter), member A1/2/3","NA"
K15272,SLC35A1_2_3,10559,"solute carrier family 35 (UDP-sugar transporter), member A1/2/3","NA"
K15272,SLC35A1_2_3,7355,"solute carrier family 35 (UDP-sugar transporter), member A1/2/3","NA"
K15273,SLC35A4,113829,"solute carrier family 35 (probable UDP-sugar transporter), member A4","NA"
K15274,SLC35A5,55032,"solute carrier family 35 (probable UDP-sugar transporter), member A5","NA"
K15275,SLC35B1,10237,"solute carrier family 35 (UDP-galactose transporter), member B1","NA"
K15276,"SLC35B2, PAPST1",347734,"solute carrier family 35 (adenosine 3'-phospho 5'-phosphosulfate transporter), member B2","NA"
K15277,"SLC35B3, PAPST2",51000,"solute carrier family 35 (adenosine 3'-phospho 5'-phosphosulfate transporter), member B3","NA"
K15278,"SLC35B4, YEA4",84912,"solute carrier family 35 (UDP-xylose/UDP-N-acetylglucosamine transporter), member B4","NA"
K15279,"SLC35C1, FUCT1",55343,"solute carrier family 35 (GDP-fucose transporter), member C1","NA"
K15280,SLC35C2,51006,"solute carrier family 35, member C2","NA"
K15281,SLC35D,340146,solute carrier family 35,"NA"
K15281,SLC35D,11046,solute carrier family 35,"NA"
K15281,SLC35D,23169,solute carrier family 35,"NA"
K15282,SLC44A3,126969,"solute carrier family 44 (choline transporter-like protein), member 3","NA"
K15283,SLC35E1,79939,"solute carrier family 35, member E1","NA"
K15284,SLC35E2,9906,"solute carrier family 35, member E2","NA"
K15284,SLC35E2,728661,"solute carrier family 35, member E2","NA"
K15285,SLC35E3,55508,"solute carrier family 35, member E3","NA"
K15286,SLC35E4,339665,"solute carrier family 35, member E4","NA"
K15287,SLC35F1_2,54733,"solute carrier family 35, member F1/2","NA"
K15287,SLC35F1_2,222553,"solute carrier family 35, member F1/2","NA"
K15288,SLC35F3_4,148641,"solute carrier family 35, member F3/4","NA"
K15288,SLC35F3_4,341880,"solute carrier family 35, member F3/4","NA"
K15289,SLC35F5,80255,"solute carrier family 35, member F5","NA"
K15290,SYT1,6857,synaptotagmin-1,"NA"
K15291,"RIMS1, RIM1",22999,regulating synaptic membrane exocytosis protein 1,"NA"
K15292,"STXBP1, MUNC18-1",6812,syntaxin-binding protein 1,"NA"
K15293,"UNC13A_B_C, MUNC13",23025,protein unc-13 A/B/C,"NA"
K15293,"UNC13A_B_C, MUNC13",10497,protein unc-13 A/B/C,"NA"
K15293,"UNC13A_B_C, MUNC13",440279,protein unc-13 A/B/C,"NA"
K15294,CPLX1_2,10815,complexin-1/2,"NA"
K15294,CPLX1_2,10814,complexin-1/2,"NA"
K15295,CPLX3_4,594855,complexin-3/4,"NA"
K15295,CPLX3_4,339302,complexin-3/4,"NA"
K15296,"NAPA, SNAPA, SEC17",8775,alpha-soluble NSF attachment protein,"NA"
K15297,"RIMS2, RIM2",9699,regulating synaptic membrane exocytosis protein 2,"NA"
K15298,"RIMS3, RIM3",9783,regulating synaptic membrane exocytosis protein 3,"NA"
K15299,"RIMS4, RIM4",140730,regulating synaptic membrane exocytosis protein 4,"NA"
K15300,"STXBP2, MUNC18-2",6813,syntaxin-binding protein 2,"NA"
K15301,"STXBP3, MUNC18-3",6814,syntaxin-binding protein 3,"NA"
K15302,"STXBP4, SYNIP",252983,syntaxin-binding protein 4,"NA"
K15303,AKR7,8574,aflatoxin B1 aldehyde reductase,"NA"
K15303,AKR7,22977,aflatoxin B1 aldehyde reductase,"NA"
K15303,AKR7,246181,aflatoxin B1 aldehyde reductase,"NA"
K15304,RANBP3,8498,Ran-binding protein 3,"NA"
K15305,"VAC14, TAX1BP2",55697,vacuole morphology and inheritance protein 14,"NA"
K15306,RANBP1,5902,Ran-binding protein 1,"NA"
K15307,GPS2,2874,G protein pathway suppressor 2,"NA"
K15308,TTP,7538,tristetraprolin,"NA"
K15309,"CRTC1, TORC1",23373,CREB-regulated transcription coactivator 1,"NA"
K15310,TP53INP1,94241,tumor protein p53-inducible nuclear protein 1,"NA"
K15311,pksG,-1,polyketide biosynthesis 3-hydroxy-3-methylglutaryl-CoA synthase-like enzyme PksG,"NA"
K15312,pksH,-1,polyketide biosynthesis enoyl-CoA hydratase PksH,"NA"
K15313,pksI,-1,polyketide biosynthesis enoyl-CoA hydratase PksI,"NA"
K15314,"sgcE, mdpE, ncsE, kedE, calE8, pksE",-1,enediyne polyketide synthase,"NA"
K15315,"sgcE10, mdpE10, ncsE10, kedE10, calE7, pksE10",-1,enediyne core biosynthesis thioesterase,"NA"
K15316,PKSA,-1,noranthrone synthase ,2.3.1.221
K15317,APTA,-1,asperthecin polyketide synthase,"NA"
K15318,APTB,-1,hydrolase,"NA"
K15319,APTC,-1,monooxygenase,"NA"
K15320,"ATX, chlB1, mdpB",-1,6-methylsalicylic acid synthase ,2.3.1.165
K15321,WA,-1,naphtho-gamma-pyrone polyketide synthase,"NA"
K15322,TSEN2,80746,tRNA-splicing endonuclease subunit Sen2 ,4.6.1.16
K15323,TSEN34,79042,tRNA-splicing endonuclease subunit Sen34 ,4.6.1.16
K15324,TSEN15,116461,tRNA-splicing endonuclease subunit Sen15,"NA"
K15325,SEN15,-1,"tRNA-splicing endonuclease subunit Sen15, fungi type","NA"
K15326,TSEN54,283989,tRNA-splicing endonuclease subunit Sen54,"NA"
K15327,pksC,-1,polyketide biosynthesis malonyl-CoA-[acyl-carrier-protein] transacylase,"NA"
K15328,pksD,-1,bacillaene synthase trans-acting acyltransferase,"NA"
K15329,pksE,-1,"trans-AT polyketide synthase, acyltransferase and oxidoreductase domains","NA"
K15331,"TRMT2B, TRM2",79979,tRNA (uracil-5-)-methyltransferase ,2.1.1.35
K15332,TRMT2A,27037,tRNA (uracil-5-)-methyltransferase ,2.1.1.-
K15333,"TRM3, TARBP1",6894,tRNA guanosine-2'-O-methyltransferase ,2.1.1.34
K15334,"NCL1, TRM4",-1,multisite-specific tRNA:(cytosine-C5)-methyltransferase ,2.1.1.202
K15335,"NSUN2, TRM4",54888,tRNA (cytosine34-C5)-methyltransferase ,2.1.1.203
K15336,"TRDMT1, DNMT2",1787,tRNA (cytosine38-C5)-methyltransferase ,2.1.1.204
K15337,acpK,-1,polyketide biosynthesis acyl carrier protein,"NA"
K15338,"GEN1, GEN",348654,flap endonuclease GEN ,3.1.-.-
K15339,YEN1,-1,holliday junction resolvase YEN1 ,3.1.-.-
K15340,"DCLRE1A, SNM1A, PSO2",9937,DNA cross-link repair 1A protein,"NA"
K15341,"DCLRE1B, SNM1B",64858,DNA cross-link repair 1B protein ,3.1.-.-
K15342,cas1,-1,CRISP-associated protein Cas1,"NA"
K15343,sspH1,-1,E3 ubiquitin-protein ligase SspH1,"NA"
K15344,sseB,-1,secreted effector protein SseB,"NA"
K15345,sseC,-1,secreted effector protein SseC,"NA"
K15346,sseD,-1,secreted effector protein SseD,"NA"
K15347,sifA,-1,secreted effector protein SifA,"NA"
K15348,"PLEKHM2, SKIP",23207,pleckstrin homology domain-containing family M member 2,"NA"
K15349,sseJ,-1,secreted effector protein SseJ,"NA"
K15350,sseF,-1,secreted effector protein SseF,"NA"
K15351,sseG,-1,secreted effector protein SseG,"NA"
K15352,pipB2,-1,secreted effector protein PipB2,"NA"
K15353,sspH2,-1,E3 ubiquitin-protein ligase SspH2,"NA"
K15354,"sseI, srfH",-1,secreted effector protein SseI,"NA"
K15355,K15355,-1,malonyl CoA-acyl carrier protein transacylase,"NA"
K15356,"VRG4, GONST1",-1,GDP-mannose transporter,"NA"
K15357,nicD,-1,N-formylmaleamate deformylase ,3.5.1.106
K15358,ena,-1,enamidase ,3.5.2.18
K15359,hspA,-1,6-hydroxy-3-succinoylpyridine 3-monooxygenase ,1.14.13.163
K15360,"STRA13, CENPX, MHF2",201254,centromere protein X,"NA"
K15361,"WDR48, UAF1",57599,WD repeat-containing protein 48,"NA"
K15362,"BRIP1, BACH1, FANCJ",83990,fanconi anemia group J protein ,3.6.4.12
K15363,"FAN1, MTMR15",22909,fanconi-associated nuclease 1 ,3.1.21.- 3.1.4.1
K15364,"NCE4, RMI1",-1,RecQ-mediated genome instability protein 1,"NA"
K15365,RMI2,116028,RecQ-mediated genome instability protein 2,"NA"
K15366,spvB,-1,salmonella plasmid virulence protein B,"NA"
K15367,sseA,-1,secretion system chaperone SseA,"NA"
K15368,sscA,-1,secretion system chaperone SscA,"NA"
K15369,TRAK1,22906,trafficking kinesin-binding protein 1,"NA"
K15370,PLCL2,23228,inactive phospholipase C-like protein 2,"NA"
K15371,GDH2,-1,glutamate dehydrogenase ,1.4.1.2
K15372,toa,-1,taurine---2-oxoglutarate transaminase ,2.6.1.55
K15373,isfD,-1,sulfoacetaldehyde reductase ,1.1.1.313
K15374,"TRAK2, GRIF1",66008,trafficking kinesin-binding protein 2,"NA"
K15375,"PLCL1, PRIP",5334,inactive phospholipase C-like protein 1,"NA"
K15376,GPHN,10243,gephyrin ,2.10.1.1 2.7.7.75
K15377,SLC44A2_4_5,80736,"solute carrier family 44 (choline transporter-like protein), member 2/4/5","NA"
K15377,SLC44A2_4_5,204962,"solute carrier family 44 (choline transporter-like protein), member 2/4/5","NA"
K15377,SLC44A2_4_5,57153,"solute carrier family 44 (choline transporter-like protein), member 2/4/5","NA"
K15378,SLC45A1_2_4,51151,"solute carrier family 45, member 1/2/4","NA"
K15378,SLC45A1_2_4,57210,"solute carrier family 45, member 1/2/4","NA"
K15378,SLC45A1_2_4,50651,"solute carrier family 45, member 1/2/4","NA"
K15379,SLC45A3,85414,"solute carrier family 45, member 3","NA"
K15380,"SLC48A1, HRG1",55652,"solute carrier family 48 (heme transporter), member 1","NA"
K15381,"DIRC2, SLC49A3",84925,"MFS transporter, FLVCR family, disrupted in renal carcinoma protein 2","NA"
K15382,"SLC50A, SWEET",55974,solute carrier family 50 (sugar transporter),"NA"
K15383,K15383,-1,MtN3 and saliva related transmembrane protein,"NA"
K15384,APDA,-1,"aspyridone synthetase, hybrid polyketide synthase / nonribosomal peptide synthetase","NA"
K15385,APDC,-1,aspyridone synthetase trans-acting enoyl reductase,"NA"
K15386,"APDB, CYP685A1",-1,cytochrome P450 monooxygenase,"NA"
K15387,APDD,-1,FAD-dependent monooxygenase,"NA"
K15388,"APDE, CYP655",-1,cytochrome P450 monooxygenase,"NA"
K15389,APDG,-1,acyl-CoA dehydrogenase,"NA"
K15390,PSOA,-1,"pseurotin A synthetase, hybrid polyketide synthase / nonribosomal peptide synthetase","NA"
K15391,CPAA,-1,"cyclopiazonic acid synthetase, hybrid polyketide synthase / nonribosomal peptide synthetase","NA"
K15392,CPAD,-1,cyclo-acetoacetyl-L-tryptophan dimethylallyltransferase ,2.5.1.-
K15393,CPAO,-1,beta-cyclopiazonate dehydrogenase ,1.21.99.1
K15394,ACE1,-1,hybrid polyketide synthase / nonribosomal peptide synthetase ACE1,"NA"
K15395,ftdB,-1,hybrid polyketide synthase / nonribosomal peptide synthetase FtdB,"NA"
K15396,trmJ,-1,tRNA (cytidine32/uridine32-2'-O)-methyltransferase ,2.1.1.200
K15397,KCS,-1,3-ketoacyl-CoA synthase ,2.3.1.199
K15398,CYP86A4S,-1,fatty acid omega-hydroxylase ,1.14.-.-
K15400,HHT1,-1,omega-hydroxypalmitate O-feruloyl transferase ,2.3.1.188
K15401,CYP86A1,-1,long-chain fatty acid omega-monooxygenase ,1.14.14.80
K15402,CYP86B1,-1,fatty acid omega-hydroxylase ,1.14.-.-
K15403,"ACE, HTH",-1,fatty acid omega-hydroxy dehydrogenase ,1.1.-.-
K15404,"K15404, CER1",-1,aldehyde decarbonylase ,4.1.99.5
K15405,"MAH1, CYP96A15",-1,midchain alkane hydroxylase,"NA"
K15406,WSD1,-1,wax-ester synthase / diacylglycerol O-acyltransferase ,2.3.1.75 2.3.1.20
K15407,"QTRT2, QTRTD1",79691,queuine tRNA-ribosyltransferase accessory subunit,"NA"
K15408,coxAC,-1,cytochrome c oxidase subunit I+III ,7.1.1.9
K15409,SRPK1,6732,serine/threonine-protein kinase SRPK1 ,2.7.11.1
K15410,EEF1D,1936,elongation factor 1-delta,"NA"
K15411,PILR,29992,paired immunoglobulin-like type 2 receptor,"NA"
K15411,PILR,29990,paired immunoglobulin-like type 2 receptor,"NA"
K15412,CFP,5199,complement factor properdin,"NA"
K15413,SP100,6672,nuclear body protein Sp100,"NA"
K15414,C1QBP,708,"complement component 1 Q subcomponent-binding protein, mitochondrial","NA"
K15415,MDPG,-1,monodictyphenone polyketide synthase,"NA"
K15416,ORSA,-1,orsellinic acid synthase,"NA"
K15417,ZEA1,-1,"zearalenone synthase, nonreducing iterative type I polyketide synthase","NA"
K15418,ZEA2,-1,"zearalenone synthase, highly reducing iterative type I polyketide synthase","NA"
K15419,EASB,-1,"emericellamide biosynthesis, highly reducing iterative type I polyketide synthase","NA"
K15420,EML4,27436,echinoderm microtubule-associated protein-like 4,"NA"
K15421,SERGEF,26297,secretion-regulating guanine nucleotide exchange factor,"NA"
K15422,SAL,-1,"3'(2'), 5'-bisphosphate nucleotidase / inositol polyphosphate 1-phosphatase ",3.1.3.7 3.1.3.57
K15423,PPP4C,5531,serine/threonine-protein phosphatase 4 catalytic subunit ,3.1.3.16
K15424,PPP4R1,9989,serine/threonine-protein phosphatase 4 regulatory subunit 1,"NA"
K15425,PPP4R2,151987,serine/threonine-protein phosphatase 4 regulatory subunit 2,"NA"
K15426,PPP4R4,57718,serine/threonine-protein phosphatase 4 regulatory subunit 4,"NA"
K15427,"SIT4, PPH1",-1,serine/threonine-protein phosphatase PP1-1 ,3.1.3.16
K15428,DUG1,-1,Cys-Gly metallodipeptidase DUG1 ,3.4.13.-
K15429,"TRM5, TRMT5",57570,tRNA (guanine37-N1)-methyltransferase ,2.1.1.228
K15430,"TRM11, TRMT11",60487,tRNA (guanine10-N2)-methyltransferase ,2.1.1.214
K15431,phlD,-1,phloroglucinol synthase ,2.3.1.253
K15432,ASW,79074,ashwin,"NA"
K15433,"CGI99, CLE7, RLLM1",51637,RLL motif containing protein 1,"NA"
K15434,FAM98B,283742,protein FAM98B,"NA"
K15435,CPD1,-1,"2',3'-cyclic-nucleotide 3'-phosphodiesterase ",3.1.4.37
K15436,"TRPO3, MTR10",23534,transportin-3,"NA"
K15437,"AIMP1, ARC1",9255,aminoacyl tRNA synthase complex-interacting multifunctional protein 1,"NA"
K15438,AIMP2,7965,aminoacyl tRNA synthase complex-interacting multifunctional protein 2,"NA"
K15439,"EEF1E1, AIMP3",9521,eukaryotic translation elongation factor 1 epsilon-1,"NA"
K15440,"TAD1, ADAT1",23536,tRNA-specific adenosine deaminase 1 ,3.5.4.34
K15441,"TAD2, ADAT2",134637,tRNA-specific adenosine deaminase 2 ,3.5.4.-
K15442,"TAD3, ADAT3",113179,tRNA-specific adenosine deaminase 3,"NA"
K15443,"TRM82, WDR4",10785,tRNA (guanine-N(7)-)-methyltransferase subunit TRM82,"NA"
K15444,TRM9,-1,tRNA (uracil-5-)-methyltransferase TRM9 ,2.1.1.229
K15445,"TRMT10, TRM10, RG9MTD",93587,tRNA (guanine9-N1)-methyltransferase ,2.1.1.221
K15445,"TRMT10, TRM10, RG9MTD",158234,tRNA (guanine9-N1)-methyltransferase ,2.1.1.221
K15446,"TRM13, CCDC76",54482,tRNA:m4X modification enzyme ,2.1.1.225
K15447,"TRM44, METTL19",152992,tRNASer (uridine44-2'-O)-methyltransferase ,2.1.1.211
K15448,"TRM112, TRMT112",51504,multifunctional methyltransferase subunit TRM112,"NA"
K15449,TYW1,55253,tRNA wybutosine-synthesizing protein 1 ,4.1.3.44
K15449,TYW1,441250,tRNA wybutosine-synthesizing protein 1 ,4.1.3.44
K15450,TYW3,127253,tRNA wybutosine-synthesizing protein 3 ,2.1.1.282
K15451,"PPM2, LCMT2, TYW4",9836,tRNA wybutosine-synthesizing protein 4 ,2.1.1.290 2.3.1.231
K15452,PUS2,-1,mitochondrial tRNA pseudouridine27/28 synthase ,5.4.99.44
K15453,PUS6,-1,tRNA pseudouridine31 synthase ,5.4.99.42
K15454,PUS9,-1,tRNA pseudouridine32 synthase ,5.4.99.28
K15455,"DPH3, KTI11",285381,diphthamide biosynthesis protein 3,"NA"
K15456,KTI12,112970,protein KTI12,"NA"
K15457,SAP155,-1,SIT4-associating protein SAP155,"NA"
K15458,SAP185_190,-1,SIT4-associating protein SAP185/190,"NA"
K15460,"yfiC, trmX",-1,tRNA1Val (adenine37-N6)-methyltransferase ,2.1.1.223
K15461,mnmC,-1,tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein ,2.1.1.61 1.5.-.-
K15462,"KTI13, ATS1",-1,protein ATS1,"NA"
K15463,RIT1,-1,tRNA A64-2'-O-ribosylphosphate transferase ,2.4.2.-
K15464,BNIP3,664,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3,"NA"
K15465,BNIP3L,665,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like,"NA"
K15466,"rifF, asm9",-1,amide synthase,"NA"
K15467,rif14,-1,27-O-demethylrifamycin SV methyltransferase ,2.1.1.315
